dataset,model,size,variant,seed,pearson_r,rel_diff_pct,scale_ratio,seg_ari,ari_ground_a,ari_ground_b
synthetic_control,SOM_7x7_RECT_planar,7x7,RECT_planar,68,0.9973104478378693,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
synthetic_control,SOM_7x7_RECT_planar,7x7,RECT_planar,69,0.9973104478378694,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
synthetic_control,SOM_7x7_RECT_planar,7x7,RECT_planar,70,0.9973104478378694,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
synthetic_control,SOM_7x7_RECT_planar,7x7,RECT_planar,71,0.9973104478378694,18.02998483132582,1.180299848313258,0.9632421233121383,0.2593082894237044,0.25584418249052654
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,42,0.9976446479328523,20.144979432920657,1.2014497943292064,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,43,0.9987467006269145,20.401003034704605,1.204010030347046,0.9392454389797484,0.30906351778285135,0.30906351778285135
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,44,0.9988388735807895,20.486215798106088,1.2048621579810608,0.9816489219410411,0.3551427134980966,0.2648666665536794
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,45,0.9983382799610978,20.263964694346022,1.2026396469434601,0.8986464163789842,0.20095300868875732,0.1930402363488928
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,46,0.9976446479328523,20.14497943292065,1.2014497943292066,0.7785627904016295,0.18817482754993695,0.17708764030916566
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,47,0.9976446479328523,20.14497943292065,1.2014497943292062,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,48,0.9988388735807897,20.486215798106084,1.2048621579810608,0.9816489219410411,0.3551427134980966,0.2648666665536794
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,49,0.9976446479328525,20.144979432920653,1.2014497943292064,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,50,0.9987467006269146,20.401003034704605,1.204010030347046,0.9188441802345356,0.30906351778285135,0.29284337467144317
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,51,0.9991659945992177,20.434434824277638,1.2043443482427763,0.8018422826331162,0.16965791151451418,0.1917862939046498
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,52,0.9988388735807897,20.486215798106088,1.2048621579810606,0.9816489219410411,0.3551427134980966,0.2648666665536794
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,53,0.9976446479328525,20.14497943292065,1.2014497943292064,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,54,0.9976446479328526,20.144979432920657,1.2014497943292066,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,55,0.9976446479328522,20.14497943292065,1.2014497943292066,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,56,0.9976446479328522,20.144979432920657,1.201449794329207,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,57,0.9976446479328522,20.144979432920657,1.2014497943292066,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,58,0.9991659945992177,20.434434824277645,1.2043443482427765,0.8018422826331162,0.16965791151451418,0.1917862939046498
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,59,0.9976446479328523,20.144979432920657,1.2014497943292066,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,60,0.9987467006269147,20.401003034704605,1.2040100303470458,0.9188441802345356,0.30906351778285135,0.29284337467144317
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,61,0.9976446479328525,20.14497943292065,1.2014497943292064,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,62,0.9988388735807898,20.486215798106095,1.204862157981061,0.9816489219410411,0.3551427134980966,0.2648666665536794
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,63,0.9988388735807898,20.486215798106088,1.204862157981061,0.9816489219410411,0.3551427134980966,0.2648666665536794
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,64,0.9976446479328526,20.144979432920657,1.2014497943292064,0.8140446862004079,0.18817482754993695,0.16762622643117012
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,65,0.9988388735807897,20.486215798106084,1.2048621579810608,0.9816489219410411,0.3551427134980966,0.2648666665536794
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,66,0.9983382799610977,20.263964694346022,1.2026396469434601,0.8986464163789842,0.20095300868875732,0.1930402363488928
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,67,0.9983382799610978,20.263964694346022,1.2026396469434604,0.8986464163789842,0.20095300868875732,0.1930402363488928
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,68,0.9983382799610976,20.26396469434602,1.2026396469434601,0.8986464163789842,0.20095300868875732,0.1930402363488928
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,69,0.998746700626915,20.40100303470461,1.2040100303470458,0.9188441802345356,0.30906351778285135,0.29284337467144317
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,70,0.99883887358079,20.486215798106088,1.2048621579810608,0.9816489219410411,0.3551427134980966,0.2648666665536794
synthetic_control,SOM_7x7_RECT_toroid,7x7,RECT_toroid,71,0.9976446479328525,20.14497943292065,1.2014497943292066,0.7785627904016295,0.18817482754993695,0.17708764030916566
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,42,0.9984434421564783,18.862209335693073,1.188622093356931,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,43,0.9974499165536337,18.596065338072286,1.1859606533807225,0.7437435833720238,0.1830702339028426,0.2377828460510542
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,44,0.9972891127371752,18.413718709079575,1.184137187090796,0.7334318211593968,0.18742477473880015,0.2021259256767502
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,45,0.9974499165536336,18.596065338072286,1.1859606533807228,0.6963913519186878,0.18610089571135918,0.2377828460510542
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,46,0.9972891127371751,18.413718709079575,1.184137187090796,0.7334318211593968,0.18742477473880015,0.2021259256767502
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,47,0.9984434421564781,18.862209335693077,1.1886220933569305,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,48,0.9975156129125036,18.905978943276196,1.1890597894327617,0.5639092989714292,0.18217476888405063,0.2070279372035179
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,49,0.9984434421564782,18.862209335693084,1.188622093356931,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,50,0.9975940144044579,18.89238353676783,1.1889238353676785,0.8272774538653309,0.21257370538486087,0.18994846534813656
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,51,0.9984434421564782,18.862209335693084,1.188622093356931,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,52,0.9984434421564781,18.862209335693077,1.1886220933569305,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,53,0.9972891127371751,18.413718709079575,1.184137187090796,0.7334318211593968,0.18742477473880015,0.2021259256767502
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,54,0.9984434421564783,18.862209335693088,1.1886220933569305,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,55,0.9974288224715184,18.610258467079838,1.1861025846707982,0.7388414055080722,0.19289627468832207,0.20783899484797694
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,56,0.9984434421564781,18.862209335693077,1.1886220933569305,0.8892903938669664,0.1940608947454259,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,57,0.9984434421564778,18.862209335693088,1.1886220933569307,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,58,0.9984434421564778,18.862209335693088,1.1886220933569307,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,59,0.9984434421564783,18.862209335693088,1.1886220933569305,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,60,0.9974499165536335,18.596065338072286,1.1859606533807228,0.6963913519186878,0.18610089571135918,0.2377828460510542
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,61,0.9984434421564783,18.862209335693073,1.188622093356931,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,62,0.9972891127371754,18.413718709079564,1.1841371870907957,0.7334318211593968,0.18742477473880015,0.2021259256767502
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,63,0.9974499165536334,18.596065338072293,1.1859606533807234,0.8118671591028054,0.19376981733859888,0.2377828460510542
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,64,0.9984434421564781,18.862209335693077,1.1886220933569305,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,65,0.9984434421564782,18.862209335693084,1.188622093356931,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,66,0.9984434421564782,18.862209335693084,1.188622093356931,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,67,0.9984434421564783,18.862209335693088,1.1886220933569305,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,68,0.9974499165536337,18.596065338072286,1.1859606533807225,0.8273640982716792,0.2088972952977727,0.2377828460510542
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,69,0.9984434421564783,18.862209335693073,1.188622093356931,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,70,0.9984434421564781,18.862209335693077,1.1886220933569305,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_planar,10x10,RECT_planar,71,0.9984434421564782,18.862209335693077,1.1886220933569303,0.8468276910987399,0.20925122775614005,0.20666063412974944
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,42,0.9992307881375709,20.442446366022267,1.204424463660222,0.8318865766021966,0.1514969645772407,0.16145279554000286
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,43,0.999248858834399,20.44977337162243,1.2044977337162244,0.8606779297781906,0.1323478792052537,0.13527230638832413
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,44,0.9992894330299988,20.466028154107548,1.2046602815410756,0.7432916244088283,0.1489625935323729,0.1301486627662295
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,45,0.999259321887665,20.523167143040077,1.205231671430401,0.9708403486828496,0.15040468868777207,0.15040468868777207
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,46,0.9993116058014638,20.462609714465827,1.2046260971446583,0.8950681201131666,0.1328771372912789,0.12423730707429656
synthetic_control,SOM_10x10_RECT_toroid,10x10,RECT_toroid,47,0.99920500478628,20.37551485953089,1.203755148595309,0.6230339835135844,0.17005406977918333,0.15422134035393814
